timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2024-06-17,312.67,317.4519,310.88,311.22,311.22,1326030,0.0,1.0
2024-06-14,307.23,316.7,305.85,313.02,313.02,2047135,0.0,1.0
2024-06-13,313.14,314.8365,300.79,306.01,306.01,2135640,0.0,1.0
2024-06-12,311.0,316.11,309.29,315.49,315.49,1139403,0.0,1.0
2024-06-11,319.0,319.375,306.08,310.0,310.0,1808771,0.0,1.0
2024-06-10,309.46,312.16,305.3656,309.0,309.0,1547978,0.0,1.0
2024-06-07,318.99,319.05,307.67,308.21,308.21,2137706,0.0,1.0
2024-06-06,325.0,328.63,318.1,319.51,319.51,1229189,0.0,1.0
2024-06-05,326.55,331.08,322.55,324.75,324.75,1822724,0.0,1.0
2024-06-04,312.64,326.76,310.5,326.68,326.68,3484818,0.0,1.0
2024-06-03,313.01,317.0,307.355,313.62,313.62,2279225,0.0,1.0
2024-05-31,301.89,304.65,292.21,296.78,296.78,1478286,0.0,1.0
2024-05-30,305.45,307.235,301.59,304.69,304.69,704206,0.0,1.0
2024-05-29,307.71,309.155,304.1,307.52,307.52,1102964,0.0,1.0
2024-05-28,307.0,311.9999,306.0,310.29,310.29,1080814,0.0,1.0
2024-05-24,298.0,309.64,298.0,308.16,308.16,1165619,0.0,1.0
2024-05-23,302.92,305.82,296.98,300.51,300.51,1013271,0.0,1.0
2024-05-22,306.0,306.69,295.71,298.76,298.76,1376846,0.0,1.0
2024-05-21,304.85,307.98,302.375,304.93,304.93,1028925,0.0,1.0
2024-05-20,303.0,312.69,303.0,308.21,308.21,1487473,0.0,1.0
2024-05-17,299.95,302.87,298.12,302.82,302.82,893624,0.0,1.0
2024-05-16,302.54,304.92,297.86,298.12,298.12,1316061,0.0,1.0
2024-05-15,298.85,303.07,295.39,303.04,303.04,2013583,0.0,1.0
2024-05-14,287.72,291.535,286.205,290.12,290.12,917898,0.0,1.0
2024-05-13,294.65,295.41,287.17,289.71,289.71,898844,0.0,1.0
2024-05-10,300.21,303.656,293.08,294.6,294.6,943896,0.0,1.0
2024-05-09,298.88,301.37,294.2623,298.66,298.66,844749,0.0,1.0
2024-05-08,297.55,303.295,296.17,298.65,298.65,2108727,0.0,1.0
2024-05-07,296.54,299.83,294.76,298.05,298.05,1332258,0.0,1.0
2024-05-06,298.0,300.04,294.62,299.48,299.48,1395052,0.0,1.0
2024-05-03,294.81,298.82,292.04,296.07,296.07,1503922,0.0,1.0
2024-05-02,287.515,294.39,283.39,294.17,294.17,1627972,0.0,1.0
2024-05-01,280.66,290.88,280.66,284.54,284.54,1671864,0.0,1.0
2024-04-30,287.0,288.45,280.37,280.44,280.44,1258095,0.0,1.0
2024-04-29,289.01,290.91,284.23,286.24,286.24,1851897,0.0,1.0
2024-04-26,292.65,294.0,284.84,289.59,289.59,2477228,0.0,1.0
2024-04-25,275.67,291.375,271.65,289.02,289.02,3711405,0.0,1.0
2024-04-24,301.35,305.64,278.14,281.23,281.23,8241547,0.0,1.0
2024-04-23,301.13,319.3,298.5,303.31,303.31,11386186,0.0,1.0
2024-04-22,280.97,280.97,267.76,272.24,272.24,5589180,0.0,1.0
2024-04-19,284.8,285.0,270.45,275.83,275.83,4245510,0.0,1.0
2024-04-18,294.78,296.801,288.67,289.2,289.2,2027178,0.0,1.0
2024-04-17,298.32,300.045,293.27,293.58,293.58,1471279,0.0,1.0
2024-04-16,291.13,300.93,289.01,298.08,298.08,1585650,0.0,1.0
2024-04-15,302.72,304.59,290.35,290.52,290.52,1944005,0.0,1.0
2024-04-12,301.0,303.355,299.0,300.45,300.45,1419981,0.0,1.0
2024-04-11,300.79,305.74,299.02,303.57,303.57,1134701,0.0,1.0
2024-04-10,297.79,303.45,296.0,299.99,299.99,1511202,0.0,1.0
2024-04-09,308.6,309.585,299.11,300.73,300.73,2539869,0.0,1.0
2024-04-08,309.2,313.1591,307.41,309.07,309.07,1716457,0.0,1.0
2024-04-05,298.68,313.068,298.68,310.31,310.31,2984951,0.0,1.0
2024-04-04,293.0,304.0,292.75,295.96,295.96,3548161,0.0,1.0
2024-04-03,285.04,293.0,279.0,291.77,291.77,4618749,0.0,1.0
2024-04-02,261.44,270.72,261.38,269.58,269.58,1797944,0.0,1.0
2024-04-01,262.97,267.24,260.8,266.43,266.43,1082567,0.0,1.0
